qdate,bid_1,ave_1,ask_1,dur_1,crspid_1,bid_3,ave_3,ask_3,dur_3,crspid_3
19841031,8.645,8.604,8.563,36,19841206.400000,9.242,9.221,9.200,92,19850131.400000
19841130,7.427,7.407,7.386,34,19850103.400000,8.649,8.638,8.628,90,19850228.400000
19841231,7.639,7.598,7.557,31,19850131.400000,8.042,8.031,8.021,94,19850404.400000
19850131,7.683,7.652,7.622,35,19850307.400000,8.246,8.236,8.225,91,19850502.400000
19850228,7.755,7.714,7.673,35,19850404.400000,8.712,8.702,8.691,91,19850530.400000
19850329,8.111,8.091,8.070,34,19850502.400000,8.380,8.359,8.338,90,19850627.400000
19850430,7.393,7.353,7.312,30,19850530.400000,8.041,8.020,7.999,93,19850801.400000
19850531,7.060,7.030,6.999,35,19850705.400000,7.305,7.284,7.263,90,19850829.400000
19850628,6.662,6.631,6.600,34,19850801.400000,6.985,6.974,6.964,90,19850926.400000
19850731,7.081,7.061,7.041,36,19850905.400000,7.451,7.430,7.409,92,19851031.400000
19850830,7.100,7.070,7.039,34,19851003.400000,7.305,7.295,7.285,91,19851129.400000
19850930,7.088,7.068,7.047,31,19851031.400000,7.246,7.235,7.225,94,19860102.400000
19851031,7.193,7.173,7.152,35,19851205.400000,7.357,7.347,7.336,91,19860130.400000
19851129,6.611,6.570,6.529,34,19860102.400000,7.325,7.315,7.305,90,19860227.400000
19851231,5.956,5.905,5.854,30,19860130.400000,7.214,7.203,7.193,93,19860403.400000
19860131,6.815,6.784,6.753,34,19860306.400000,7.129,7.119,7.108,90,19860501.400000
19860228,6.958,6.947,6.937,34,19860403.400000,7.181,7.170,7.160,90,19860529.400000
19860331,6.293,6.272,6.252,31,19860501.400000,6.492,6.472,6.451,94,19860703.400000
19860430,5.938,5.898,5.857,36,19860605.400000,6.233,6.223,6.213,92,19860731.400000
19860530,6.172,6.152,6.131,34,19860703.400000,6.438,6.428,6.418,90,19860828.400000
19860630,5.906,5.885,5.865,31,19860731.400000,6.121,6.101,6.080,94,19861002.400000
19860731,5.653,5.632,5.612,35,19860904.400000,5.914,5.904,5.893,91,19861030.400000
19860829,5.143,5.122,5.102,34,19861002.400000,5.276,5.256,5.235,91,19861128.400000
19860930,5.121,5.111,5.100,30,19861030.400000,5.308,5.298,5.288,94,19870102.400000
19861031,5.143,5.122,5.102,34,19861204.400000,5.307,5.297,5.286,90,19870129.400000
19861128,4.990,4.960,4.929,35,19870102.400000,5.502,5.492,5.481,90,19870226.400000
19861231,5.164,5.113,5.062,36,19870205.400000,5.791,5.781,5.770,92,19870402.400000
19870130,5.611,5.581,5.550,34,19870305.400000,5.718,5.708,5.697,90,19870430.400000
19870227,5.387,5.367,5.346,34,19870402.400000,5.564,5.553,5.543,90,19870528.400000
19870331,5.222,5.202,5.182,30,19870430.400000,5.730,5.719,5.709,93,19870702.400000
19870430,4.909,4.858,4.807,35,19870604.400000,5.646,5.626,5.605,91,19870730.400000
19870529,5.407,5.387,5.367,34,19870702.400000,5.800,5.790,5.780,90,19870827.400000
19870630,4.968,4.927,4.887,30,19870730.400000,5.853,5.843,5.832,93,19871001.400000
19870731,5.622,5.601,5.581,34,19870903.400000,6.201,6.191,6.181,90,19871029.400000
19870831,5.692,5.661,5.630,31,19871001.400000,6.317,6.296,6.276,94,19871203.400000
19870930,6.520,6.500,6.479,36,19871105.400000,6.759,6.749,6.738,92,19871231.400000
19871030,4.073,4.023,3.972,34,19871203.400000,5.379,5.368,5.358,90,19880128.400000
